t,ax,ay,az,vl,vm,vn
12419.0,0.0232,-0.001,1.0131,3.9673,-4.2725,-2.0142
12429.0,0.026,-0.0021,1.0089,3.9062,-4.2114,-2.0752
12438.0,0.0238,-0.0005,1.0103,3.8452,-4.1504,-1.9531
12448.0,0.0233,-0.0026,1.0116,3.8452,-4.0894,-1.8921
12457.0,0.026,-0.0038,1.0115,3.9062,-4.1504,-1.8921
12467.0,0.0253,-0.0033,1.0082,3.7842,-4.1504,-1.8921
12477.0,0.0254,-0.0032,1.0083,3.8452,-4.1504,-2.0142
12487.0,0.0255,-0.0031,1.0078,4.0894,-4.1504,-2.1362
12497.0,0.0237,-0.0015,1.0059,4.0283,-4.1504,-2.1362
12506.0,0.0238,-0.0012,1.0099,4.0283,-4.2114,-2.0752
12516.0,0.0251,-0.0037,1.0083,3.9673,-4.1504,-2.0752
12526.0,0.024,-0.0027,1.0087,4.0283,-4.1504,-2.0142
12535.0,0.0253,-0.0012,1.0089,4.0283,-4.1504,-2.0752
12545.0,0.0256,-0.0035,1.011,4.0283,-4.1504,-2.0752
12555.0,0.0228,0.0001,1.0142,3.9673,-4.2114,-2.0752
12564.0,0.0243,-0.0024,1.0098,3.9673,-4.2725,-2.1362
12574.0,0.0231,-0.0002,1.0116,3.9673,-4.1504,-1.9531
12584.0,0.0242,-0.0032,1.0093,3.9062,-4.0894,-1.9531
12593.0,0.0242,-0.0012,1.0112,3.9062,-4.0894,-2.0142
12604.0,0.0253,-0.0018,1.0082,3.9062,-4.1504,-2.0142
12613.0,0.0238,-0.0007,1.0083,3.9673,-4.0894,-1.9531
12623.0,0.0247,-0.0006,1.009,4.0283,-4.0894,-1.9531
12633.0,0.0258,-0.0031,1.0114,3.9062,-4.0894,-1.8921
12642.0,0.0242,-0.0042,1.009,3.8452,-4.0283,-1.8311
12652.0,0.0242,-0.0044,1.0105,3.9062,-4.1504,-2.0142
12662.0,0.0244,-0.001,1.0095,3.9673,-4.2114,-2.1973
12671.0,0.0248,-0.0001,1.0088,3.9673,-4.2114,-1.9531
12681.0,0.0249,-0.0038,1.0103,3.7842,-4.1504,-1.8311
12691.0,0.0234,-0.0038,1.0103,3.8452,-4.1504,-1.9531
12701.0,0.0223,-0.0013,1.0122,3.9062,-4.2114,-2.1973
12710.0,0.0245,0.0001,1.0076,3.9062,-4.0894,-2.0752
12720.0,0.0258,-0.0038,1.0087,3.9062,-4.1504,-2.0142
12730.0,0.0266,-0.0042,1.0122,3.9673,-4.2114,-2.0142
12740.0,0.024,-0.0002,1.0107,3.9673,-4.1504,-2.0752
12749.0,0.0231,-0.0024,1.0117,3.9673,-4.0894,-1.9531
12759.0,0.0244,-0.0031,1.0081,3.8452,-4.1504,-1.8921
12769.0,0.0237,-0.0012,1.0111,3.9062,-4.2114,-2.0142
12778.0,0.0243,-0.004,1.009,3.9062,-4.2114,-2.0752
12788.0,0.0259,-0.0024,1.0089,3.9062,-4.2114,-2.0142
12798.0,0.0251,-0.0044,1.009,4.0283,-4.2114,-2.1362
12807.0,0.0233,0.0006,1.0126,3.9673,-4.2725,-2.1362
12817.0,0.0234,-0.0044,1.0106,3.9673,-4.2114,-2.0752
12827.0,0.0243,-0.0001,1.01,4.0894,-4.1504,-2.1973
12836.0,0.0258,-0.0037,1.012,3.9673,-4.0894,-2.1362
12846.0,0.025,-0.0007,1.0084,3.9673,-4.1504,-2.1362
12856.0,0.0248,-0.0045,1.0098,4.0894,-4.1504,-2.1973
12866.0,0.0255,-0.0042,1.0106,3.9673,-4.1504,-2.0142
12876.0,0.0244,-0.0026,1.009,3.9062,-4.1504,-2.0142
12885.0,0.026,-0.0028,1.0118,3.8452,-4.1504,-2.0142
12895.0,0.0254,-0.001,1.0093,3.7842,-4.1504,-1.9531
12904.0,0.0255,-0.0026,1.0109,3.7842,-4.1504,-1.8921
12914.0,0.0249,-0.0022,1.0098,3.9062,-4.2114,-1.8921
12924.0,0.0261,-0.004,1.0094,3.8452,-4.1504,-1.9531
12934.0,0.0237,-0.0007,1.0096,3.9673,-4.1504,-1.9531
12943.0,0.024,-0.0009,1.0111,3.9673,-4.1504,-1.9531
12953.0,0.0254,-0.0038,1.0098,3.9673,-4.2725,-1.9531
12963.0,0.0237,0.0,1.012,3.8452,-4.2114,-1.9531
12973.0,0.0255,-0.0035,1.0092,3.9062,-4.2114,-2.0752
12982.0,0.0244,-0.0009,1.0084,4.0283,-4.2725,-2.0752
12992.0,0.0243,-0.0011,1.0105,3.9673,-4.1504,-2.0752
13002.0,0.0237,-0.0039,1.0098,3.9673,-4.0894,-2.0752
13011.0,0.0247,-0.0033,1.0095,3.9673,-4.2114,-1.9531
13021.0,0.0248,-0.0032,1.009,3.8452,-4.0894,-2.0752
13031.0,0.0239,-0.001,1.0078,3.9673,-4.2114,-2.1362
13041.0,0.026,-0.0034,1.0106,4.0283,-4.2114,-2.0142
13050.0,0.0238,-0.0026,1.0062,3.8452,-4.0894,-1.9531
13060.0,0.022,0.0001,1.0131,3.9062,-4.0894,-1.9531
13070.0,0.0254,-0.0004,1.0079,3.9062,-4.0894,-2.0142
13079.0,0.0256,-0.0044,1.0101,3.9062,-4.1504,-2.0142
13089.0,0.0255,-0.0027,1.0095,3.8452,-4.0894,-1.8311
13099.0,0.0258,-0.0031,1.0093,3.8452,-4.0894,-1.8921
13109.0,0.0239,-0.0028,1.0087,3.9673,-4.2114,-1.9531
13118.0,0.0239,-0.0005,1.0112,3.9062,-4.2114,-1.8921
13128.0,0.0238,-0.0028,1.0088,3.7842,-4.0894,-1.8921
13138.0,0.0247,-0.0029,1.0088,3.8452,-4.1504,-1.9531
13148.0,0.0245,-0.0024,1.0129,3.9673,-4.2725,-2.0142
13157.0,0.0255,-0.0029,1.0111,3.9673,-4.2114,-1.9531
13167.0,0.0249,-0.0001,1.0085,3.9673,-4.2725,-2.0752
13177.0,0.0256,-0.0031,1.0084,3.8452,-4.2114,-1.9531
13186.0,0.0256,-0.0016,1.0078,3.9062,-4.1504,-1.9531
13196.0,0.0239,-0.0018,1.0116,3.8452,-4.1504,-1.8311
13206.0,0.026,-0.0027,1.0116,3.8452,-4.0283,-1.8311
13216.0,0.0255,-0.0029,1.0087,3.8452,-4.1504,-1.9531
13225.0,0.0258,-0.0024,1.0093,3.9673,-4.1504,-2.0752
13235.0,0.0244,-0.0018,1.0118,4.0283,-4.1504,-2.0142
13245.0,0.0254,0.0006,1.0093,4.0283,-4.1504,-2.0142
13255.0,0.0245,-0.0039,1.0096,3.8452,-4.1504,-1.8921
13264.0,0.0244,-0.0042,1.0105,3.9062,-4.0894,-1.8311
13274.0,0.0262,-0.0045,1.0106,3.8452,-4.0894,-1.8921
13284.0,0.025,-0.0032,1.0133,3.9673,-4.2114,-1.9531
13293.0,0.0255,-0.0023,1.012,4.0283,-4.2114,-2.0752
13303.0,0.0249,0.0023,1.0105,4.1504,-4.2114,-2.1973
13313.0,0.0237,-0.0031,1.0099,3.9062,-4.1504,-2.0142
13322.0,0.0259,-0.0048,1.0114,3.9673,-4.1504,-2.0142
13332.0,0.026,-0.0002,1.0117,3.9673,-4.2114,-2.0752
13342.0,0.026,-0.004,1.0118,3.9673,-4.2114,-2.1362
13351.0,0.0237,-0.0038,1.0099,4.0283,-4.2114,-2.1973
13361.0,0.0244,0.001,1.0084,4.0894,-4.2114,-2.1362
13371.0,0.0242,-0.0034,1.0099,3.9062,-4.1504,-2.0142
13381.0,0.0242,-0.0004,1.0121,3.9062,-4.2114,-1.9531
13391.0,0.0247,-0.0005,1.0134,3.9673,-4.2114,-1.9531
13400.0,0.0228,0.0002,1.0133,4.0283,-4.2114,-2.0752
13410.0,0.0228,-0.0026,1.0071,4.0283,-4.1504,-2.0752
13419.0,0.0259,-0.0034,1.0092,3.9673,-4.1504,-2.0142
13429.0,0.0255,-0.0024,1.0087,3.9673,-4.0894,-2.1362
13439.0,0.0242,-0.0017,1.0116,3.9673,-4.2725,-2.1973
13449.0,0.0248,-0.0026,1.0087,3.9673,-4.2114,-2.0142
13459.0,0.0234,-0.0009,1.0131,3.9673,-4.2725,-2.0752
13468.0,0.024,0.0018,1.0104,3.9062,-4.2114,-2.0752
13478.0,0.0238,-0.0028,1.0076,3.9673,-4.1504,-2.0752
13488.0,0.0231,-0.0017,1.0115,3.9062,-4.1504,-2.0752
13497.0,0.0228,-0.0033,1.0093,3.9062,-4.1504,-2.0142
13507.0,0.0236,-0.0029,1.0127,3.9062,-4.1504,-2.0142
13517.0,0.0233,0.0021,1.0131,3.8452,-4.1504,-1.9531
13526.0,0.0254,0.0029,1.01,3.9062,-4.0894,-1.9531
13536.0,0.0247,-0.0034,1.0089,3.9673,-4.1504,-2.0752
13546.0,0.0251,-0.0035,1.0115,4.0283,-4.2114,-2.0142
13556.0,0.0234,0.0009,1.0128,3.9062,-4.1504,-1.9531
13565.0,0.0256,0.0009,1.0076,3.7842,-4.0894,-1.8311
13575.0,0.0248,-0.004,1.0101,3.9673,-4.2725,-2.0142
13585.0,0.0256,-0.002,1.012,3.9062,-4.1504,-2.0142
13595.0,0.0253,-0.0045,1.011,3.9062,-4.2114,-1.9531
13604.0,0.0242,-0.0011,1.0105,3.9673,-4.1504,-2.0752
13614.0,0.0248,-0.0032,1.0088,4.0283,-4.1504,-2.1362
13624.0,0.0233,0.0013,1.0115,3.9673,-4.2114,-2.0752
13633.0,0.0248,0.0002,1.0082,3.9673,-4.2114,-2.1362
13643.0,0.0256,-0.004,1.01,3.9062,-4.2114,-2.0142
13653.0,0.0233,-0.0005,1.0125,3.8452,-4.0894,-1.8311
13663.0,0.0239,-0.0027,1.0087,3.8452,-4.1504,-1.8921
13672.0,0.0249,-0.0023,1.0118,3.9062,-4.1504,-1.9531
13682.0,0.0221,0.0012,1.0123,4.0283,-4.1504,-2.1362
13692.0,0.0243,-0.0021,1.007,4.0283,-4.2114,-2.1362
13701.0,0.0265,-0.0033,1.0109,4.0283,-4.1504,-2.0142
13711.0,0.0261,-0.0027,1.0082,3.9673,-4.0894,-1.9531
13721.0,0.0262,0.0013,1.0089,3.9062,-4.0283,-2.0142
13731.0,0.0247,0.0017,1.0083,3.9673,-4.2114,-2.1362
13740.0,0.0233,-0.0033,1.0104,3.9062,-4.0894,-1.9531
13750.0,0.0255,-0.0052,1.01,3.9062,-4.0894,-1.8311
13760.0,0.0248,-0.0044,1.0106,4.0283,-4.0894,-2.0142
13769.0,0.0225,-0.0018,1.0129,3.9673,-4.2114,-2.0752
13779.0,0.0233,0.0011,1.0128,3.9673,-4.1504,-2.0752
13789.0,0.0223,-0.0004,1.0135,3.9673,-4.2114,-2.0752
13799.0,0.0231,0.0026,1.0122,3.9673,-4.2114,-2.0142
13808.0,0.0234,-0.0018,1.0063,3.9062,-4.2114,-2.0142
13818.0,0.0256,-0.0046,1.0105,3.9062,-4.0894,-1.9531
13828.0,0.025,-0.0038,1.0121,3.9673,-4.0283,-1.8921
13838.0,0.0249,-0.001,1.0079,3.9673,-4.1504,-2.0142
13847.0,0.0233,-0.0033,1.0073,4.0283,-4.2725,-2.1362
13857.0,0.0248,-0.0035,1.0098,3.9062,-4.2114,-2.0142
13867.0,0.0254,-0.0054,1.0111,4.0283,-4.2114,-1.9531
13877.0,0.0272,-0.0035,1.0103,3.9062,-4.1504,-2.0142
13886.0,0.0258,-0.0026,1.0116,4.0283,-4.2114,-2.0752
13896.0,0.0229,0.0015,1.0137,4.0894,-4.2114,-2.1362
13905.0,0.0231,0.0015,1.0143,4.1504,-4.0894,-2.1362
13915.0,0.0227,0.0023,1.0135,4.0894,-4.1504,-2.1362
13925.0,0.0255,0.0004,1.0076,4.0283,-4.2114,-2.0752
13935.0,0.0254,-0.0038,1.0096,3.9062,-4.1504,-2.0752
13945.0,0.0253,-0.0017,1.0125,3.8452,-4.0894,-1.8921
13954.0,0.0229,-0.0006,1.0138,3.9673,-4.0894,-1.9531
13964.0,0.0247,0.001,1.0081,3.9673,-4.2114,-2.1362
13974.0,0.0231,0.0016,1.0129,4.0283,-4.1504,-2.0142
13983.0,0.0226,-0.001,1.0137,4.0283,-4.0894,-1.9531
13993.0,0.0239,0.0011,1.011,3.9673,-4.1504,-2.0752
14003.0,0.0255,-0.0002,1.0074,3.9062,-4.1504,-2.0142
14012.0,0.0255,-0.004,1.0098,3.9673,-4.2114,-1.9531
14022.0,0.0247,-0.0005,1.0098,3.8452,-4.2114,-1.9531
14032.0,0.025,0.0011,1.0081,3.7842,-4.0894,-1.77
14042.0,0.0254,0.0012,1.0087,3.7842,-4.0283,-1.77
14051.0,0.0262,-0.0049,1.0093,3.7842,-4.2114,-1.8311
14061.0,0.0233,0.0006,1.0131,3.9673,-4.0894,-1.8311
14071.0,0.0248,-0.0011,1.0082,3.9062,-4.0894,-1.9531
14080.0,0.0254,-0.0027,1.0063,3.9673,-4.1504,-2.0752
14090.0,0.0237,-0.0042,1.0107,3.8452,-4.0894,-2.0142
14100.0,0.0228,-0.005,1.0117,3.9062,-4.2114,-1.8311
14109.0,0.0233,-0.0029,1.009,3.8452,-4.0894,-1.8311
14119.0,0.0248,-0.0031,1.01,3.8452,-4.1504,-1.8921
14129.0,0.0231,-0.0031,1.01,3.9062,-4.0894,-1.8921
14139.0,0.0248,-0.0035,1.0105,3.9062,-4.0283,-1.9531
14149.0,0.026,-0.0037,1.0095,3.9062,-4.1504,-1.9531
14158.0,0.0253,-0.0044,1.0098,4.0283,-4.2114,-2.0752
14168.0,0.025,-0.0031,1.0078,4.0283,-4.2114,-1.9531
14177.0,0.0247,-0.0028,1.0067,3.8452,-4.0283,-1.8311
14187.0,0.025,-0.0035,1.0092,3.7231,-4.1504,-1.8921
14197.0,0.0225,-0.0043,1.0116,3.9673,-4.1504,-1.9531
14207.0,0.0259,-0.0051,1.0109,3.9673,-4.1504,-1.9531
14216.0,0.0258,-0.0038,1.0104,3.9062,-4.1504,-1.9531
14226.0,0.0251,-0.0049,1.0106,3.9673,-4.0894,-1.8311
14236.0,0.0244,-0.0051,1.0111,3.9673,-4.1504,-1.8921
14246.0,0.0238,-0.0017,1.0079,3.8452,-4.1504,-1.8921
14255.0,0.0245,-0.0028,1.0068,3.8452,-4.1504,-1.8921
14265.0,0.0251,-0.0046,1.0092,3.7842,-4.0283,-1.8311
14275.0,0.026,-0.0038,1.0098,3.9062,-4.0894,-1.8921
14284.0,0.0258,-0.0038,1.0112,3.9673,-4.0894,-1.9531
14294.0,0.0238,-0.0017,1.0078,3.8452,-4.0894,-1.9531
14304.0,0.0245,0.0004,1.0089,3.7842,-4.2725,-1.9531
14313.0,0.0236,0.0013,1.0107,3.8452,-4.0894,-1.8921
14323.0,0.0242,-0.0024,1.0074,3.7842,-4.1504,-1.8311
14333.0,0.0229,-0.0031,1.01,3.8452,-4.1504,-2.0752
14343.0,0.024,-0.0026,1.0083,3.8452,-4.0894,-1.9531
14352.0,0.0243,-0.0001,1.0073,3.8452,-4.1504,-1.8311
14362.0,0.0243,0.0002,1.0084,3.7842,-4.0894,-1.8311
14372.0,0.0242,0.0017,1.0082,3.8452,-4.2114,-1.77
14382.0,0.0251,-0.0013,1.0076,3.7231,-4.0894,-1.8311
14391.0,0.024,-0.0016,1.0063,3.9062,-4.1504,-1.8921
14401.0,0.0248,-0.002,1.0125,3.7842,-4.1504,-1.8921
14411.0,0.0251,-0.0042,1.0105,3.9062,-4.0894,-2.0142
14420.0,0.0242,0.0013,1.0114,3.9673,-4.0894,-1.8921
14430.0,0.0239,-0.0038,1.0123,3.9062,-4.1504,-1.8921
14440.0,0.0237,-0.0037,1.0094,3.8452,-4.1504,-1.8921
14450.0,0.0243,-0.0005,1.0076,3.7842,-4.1504,-1.8311
14460.0,0.0259,0.0022,1.0103,3.7842,-4.1504,-1.8921
14469.0,0.0233,-0.0007,1.0133,3.8452,-4.1504,-2.0142
14479.0,0.0243,-0.001,1.0135,3.9673,-4.1504,-2.0752
14489.0,0.0248,-0.0038,1.0104,4.0283,-4.1504,-2.1362
14498.0,0.0245,-0.0042,1.0115,4.0283,-4.1504,-2.0142
14508.0,0.0242,-0.0033,1.0094,3.9062,-4.0894,-1.8921
14518.0,0.0247,0.0017,1.0087,3.8452,-4.0894,-1.8921
14527.0,0.0248,0.0016,1.0083,3.8452,-4.0894,-1.8921
14537.0,0.0249,-0.0016,1.0074,3.7842,-4.0894,-1.8921
14547.0,0.0243,-0.0007,1.0073,3.8452,-4.0894,-1.8921
14556.0,0.0256,0.0018,1.01,3.9673,-4.1504,-1.9531
14566.0,0.0247,-0.0006,1.0143,3.9673,-4.2114,-1.9531
14576.0,0.0253,-0.0037,1.0105,3.9062,-4.1504,-2.0142
14586.0,0.0245,-0.0034,1.0094,4.0894,-4.1504,-2.0752
14596.0,0.0247,0.0011,1.0127,3.9673,-4.1504,-1.8921
14605.0,0.0243,-0.0035,1.0109,3.9062,-4.1504,-1.8921
14615.0,0.0234,-0.0029,1.0067,3.8452,-4.2114,-1.9531
14625.0,0.0242,-0.0033,1.009,3.8452,-4.1504,-1.8311
14634.0,0.0259,-0.0049,1.01,3.9673,-4.1504,-1.8311
14644.0,0.0261,-0.0045,1.01,3.9062,-4.0894,-1.8921
14654.0,0.0255,-0.0046,1.0109,3.9673,-4.1504,-1.9531
14663.0,0.0239,-0.0039,1.0105,3.9062,-4.0894,-2.0142
14673.0,0.0242,-0.0034,1.0089,3.9673,-4.2114,-1.9531
14683.0,0.025,-0.0032,1.0087,3.9062,-4.1504,-1.8311
14693.0,0.0264,-0.0051,1.0099,3.8452,-4.0894,-1.8311
14702.0,0.0264,-0.0044,1.0117,3.9062,-4.1504,-1.8921
14712.0,0.0234,0.0006,1.0139,3.9673,-4.0894,-2.0142
14722.0,0.0245,0.0016,1.0101,4.0283,-4.1504,-2.0752
14731.0,0.0234,-0.0005,1.0082,3.9673,-4.2114,-2.0142
14741.0,0.0249,-0.0035,1.0093,3.9062,-4.1504,-1.9531
14751.0,0.0239,-0.0035,1.0074,3.9062,-4.0894,-1.9531
14761.0,0.0236,-0.0034,1.0094,3.9673,-4.1504,-1.9531
14771.0,0.0239,-0.0048,1.0115,3.9062,-4.0894,-1.8311
14780.0,0.0237,-0.0032,1.0079,3.7231,-4.1504,-1.8921
14790.0,0.0244,0.0,1.0089,3.7842,-4.0894,-1.8311
14799.0,0.0248,-0.0027,1.0106,4.0283,-4.0894,-1.77
14809.0,0.0229,0.0002,1.0142,3.9062,-4.1504,-2.0142
14819.0,0.0249,-0.0005,1.0138,3.9062,-4.2114,-2.1362
14829.0,0.0253,-0.0044,1.01,4.0283,-4.2114,-2.1362
14838.0,0.0238,-0.0044,1.0117,4.0894,-4.2114,-2.1973
14848.0,0.0248,0.0009,1.0134,4.0283,-4.1504,-2.0142
14858.0,0.0253,-0.0033,1.0104,3.9062,-4.0894,-1.8311
14868.0,0.0269,-0.005,1.0094,3.7842,-4.1504,-2.0142
14877.0,0.026,-0.0034,1.009,4.0283,-4.2725,-2.0142
14887.0,0.026,-0.0043,1.0096,4.0283,-4.2114,-2.0142
14897.0,0.0232,0.0011,1.0129,3.9673,-4.2114,-2.1362
14907.0,0.0248,-0.0028,1.011,3.9673,-4.2114,-2.0142
14916.0,0.0258,-0.005,1.0099,3.9673,-4.2114,-2.0752
14926.0,0.0245,-0.0033,1.0082,3.9673,-4.1504,-2.0142
14935.0,0.0237,0.0,1.0149,3.9062,-4.0894,-1.9531
14945.0,0.0264,-0.0029,1.0087,3.9673,-4.2114,-2.0142
14955.0,0.0256,-0.0049,1.01,4.0283,-4.2114,-2.1973
14965.0,0.0225,-0.0045,1.0117,3.9673,-4.1504,-2.0752
14975.0,0.0237,-0.0039,1.0109,3.9673,-4.1504,-1.8921
14984.0,0.0254,-0.0046,1.0093,4.0283,-4.2114,-1.8921
14994.0,0.0243,-0.0049,1.0114,3.8452,-4.1504,-1.77
15004.0,0.0227,-0.0013,1.0073,3.8452,-4.0894,-1.8311
15013.0,0.0244,-0.0018,1.0126,3.7842,-4.1504,-1.8311
15023.0,0.0253,-0.0016,1.0125,3.8452,-4.1504,-1.8921
15033.0,0.0258,-0.0044,1.0111,3.9062,-4.2114,-2.0752
15043.0,0.0238,-0.0034,1.01,4.0283,-4.2114,-1.9531
15052.0,0.0247,0.0027,1.0087,3.8452,-4.1504,-1.8921
15062.0,0.0248,-0.0007,1.0139,3.8452,-4.2114,-1.9531
15072.0,0.0251,-0.0027,1.0103,3.9062,-4.1504,-2.0142
15081.0,0.0264,-0.004,1.0105,4.0283,-4.2114,-2.1362
15091.0,0.0244,-0.0037,1.0116,4.0894,-4.2725,-2.2583
15101.0,0.0247,0.001,1.01,3.9673,-4.1504,-2.1362
15111.0,0.0251,-0.0034,1.0107,3.9062,-4.0894,-1.8921
15120.0,0.0239,-0.0023,1.0071,3.9062,-4.1504,-1.8311
15130.0,0.024,-0.0035,1.0104,3.8452,-4.1504,-1.9531
15140.0,0.0258,-0.001,1.0117,3.7842,-4.0894,-1.8921
15150.0,0.0237,0.0,1.0111,3.9062,-4.0894,-1.8311
15159.0,0.0253,-0.0033,1.0092,3.9062,-4.1504,-2.0752
15169.0,0.0238,-0.0043,1.0118,3.9062,-4.0894,-2.0752
15179.0,0.0233,0.001,1.0117,3.9673,-4.1504,-2.0142
15188.0,0.026,-0.0031,1.0089,3.9062,-4.1504,-2.0142
15198.0,0.0248,-0.0033,1.0089,3.8452,-4.1504,-2.0142
15208.0,0.0255,0.0006,1.0118,3.9062,-4.2114,-1.8921
15217.0,0.0237,-0.0037,1.0114,3.9673,-4.2114,-2.0142
15227.0,0.0243,0.0023,1.0114,3.9673,-4.2114,-2.1362
15237.0,0.0258,-0.0035,1.0101,4.1504,-4.2725,-2.1973
15247.0,0.0248,0.0005,1.0092,4.0283,-4.2114,-2.1362
15256.0,0.0248,-0.0027,1.01,4.0894,-4.2725,-2.0752
15266.0,0.0253,-0.0002,1.0101,4.0283,-4.2725,-1.9531
15276.0,0.025,-0.0022,1.0081,3.9673,-4.2114,-2.0142
15286.0,0.0243,-0.0028,1.0094,3.9062,-4.2725,-2.0752
15295.0,0.0258,-0.0048,1.0117,3.9673,-4.2725,-2.0752
15305.0,0.0249,0.0005,1.0131,4.0283,-4.2114,-2.0752
15315.0,0.025,-0.0042,1.0104,4.0894,-4.2725,-2.1362
15324.0,0.0234,-0.0026,1.0079,4.0283,-4.1504,-2.1362
15334.0,0.0245,0.0004,1.014,4.0283,-4.2114,-2.0752
15344.0,0.0259,-0.0044,1.0101,4.0283,-4.2114,-2.0752
15354.0,0.0233,-0.0023,1.0079,3.9673,-4.0894,-2.0142
15363.0,0.0255,0.0032,1.0103,3.9673,-4.1504,-1.9531
15373.0,0.0248,0.0028,1.0116,3.7842,-4.0283,-1.8921
15383.0,0.0256,-0.0045,1.0105,3.9062,-4.0894,-1.9531
15392.0,0.0239,-0.0038,1.0092,4.0283,-4.2114,-2.0142
15402.0,0.0234,-0.001,1.0072,3.9062,-4.0894,-1.8921
15412.0,0.0244,-0.0007,1.0135,3.9062,-4.2114,-1.9531
15422.0,0.026,-0.0032,1.0092,4.0283,-4.2725,-2.1362
15431.0,0.0267,-0.0042,1.0096,3.9062,-4.1504,-2.0752
15441.0,0.0253,-0.0043,1.01,3.9673,-4.1504,-2.0752
15451.0,0.0243,-0.0024,1.0068,3.9062,-4.2114,-2.0142
15460.0,0.0239,-0.0002,1.0077,3.7842,-4.0894,-1.8311
15470.0,0.0244,0.001,1.0128,3.9062,-4.0283,-1.9531
15480.0,0.0236,-0.0037,1.0104,4.0283,-4.1504,-2.0752
15489.0,0.0238,-0.0004,1.0117,3.9673,-4.0894,-2.0142
15499.0,0.0256,-0.0051,1.0107,3.9062,-4.1504,-1.8921
15509.0,0.0244,-0.0055,1.0105,3.9062,-4.1504,-1.9531
15519.0,0.0249,-0.0052,1.0099,3.9673,-4.0894,-1.9531
15528.0,0.0251,-0.0016,1.0143,3.9062,-4.0894,-2.0142
15538.0,0.0256,-0.0032,1.0095,3.9673,-4.2114,-2.0752
15548.0,0.0262,-0.0038,1.0095,3.9673,-4.2114,-2.1362
15557.0,0.0233,-0.0052,1.012,3.9673,-4.0894,-2.0752
15567.0,0.0247,-0.0045,1.0104,3.9673,-4.0894,-2.0142
15577.0,0.0238,-0.0038,1.0116,3.9673,-4.1504,-2.0142
15587.0,0.0245,-0.0024,1.0071,3.9673,-4.1504,-2.0142
